name,picUrl,urlA,urlB,urlC
麻吉弟弟,http://pic.xiami.net/images/artistlogo/7/15059763676407.jpg,http://pic.xiami.net/images/artistpic/52/752/1266224582_jlSb.jpg,http://pic.xiami.net/images/artistpic/52/752/1266224571_WQw5.jpg,http://pic.xiami.net/images/artistpic/52/752/1266224560_O40W.jpg
TWIGY,http://pic.xiami.net/images/artistlogo/44/14213012607744.jpg,http://pic.xiami.net/images/artistpic/18/81518/1399823495_aXrb.jpg,http://pic.xiami.net/images/artistpic/18/81518/1399823493_oIKU.jpeg,http://pic.xiami.net/images/artistpic/18/81518/1420907897_Y3U9.jpg
Nymano,http://pic.xiami.net/images/artistlogo/57/14425486124957.jpg,,,
NITRO MICROPHONE UNDERGROUND,http://pic.xiami.net/images/artist/2/12627610176702.jpg,http://pic.xiami.net/images/artistpic/18/69318/1332328482_NdaZ.jpg,http://pic.xiami.net/images/artistpic/18/69318/1332328489_Wqtm.jpg,http://pic.xiami.net/images/artistpic/18/69318/1332328480_3aqG.jpg
Trouble Maker,http://pic.xiami.net/images/artistlogo/42/13829277141042.jpg,http://pic.xiami.net/images/artistpic/61/1382927661/1383305174_6Hb9.jpg,http://pic.xiami.net/images/artistpic/61/1382927661/1383305576_IrB1.png,http://pic.xiami.net/images/artistpic/61/1382927661/1383555522_M2hL.jpg
张杰,http://pic.xiami.net/images/artistlogo/83/14182113107383.jpg,http://pic.xiami.net/images/artistpic/74/1174/1258874213_eJ5r.jpg,http://pic.xiami.net/images/artistpic/74/1174/1258874174_Mgpi.jpg,http://pic.xiami.net/images/artistpic/74/1174/1258874156_IJUz.jpg
Denzel Curry,http://pic.xiami.net/images/artistlogo/40/14425439974440.jpg,http://pic.xiami.net/images/artistpic/84/1527166784/1477118602_5v4T.jpg,http://pic.xiami.net/images/artistpic/84/1527166784/1494908566_3R27.jpg,http://pic.xiami.net/images/artistpic/84/1527166784/1494908884_jfcr.jpg
Big Will,http://pic.xiami.net/images/artistlogo/6/14588995923706.jpg,,,
西藏音乐�?,,http://pic.xiami.net/images/artistpic/74/2100018274/1460044942_f5hQ.jpg,,http://pic.xiami.net/images/artistlogo/10/14988215501210.jpg
Jon Young,http://pic.xiami.net/images/artist/62/12499590767562.jpg,,,
J Balvin,http://pic.xiami.net/images/artistlogo/12/15093299762412.jpg,http://pic.xiami.net/images/artistpic/83/1583101583/1500284482_L6GZ.png,http://pic.xiami.net/images/artistpic/83/1583101583/1500286138_eUwp.png,http://pic.xiami.net/images/artistpic/83/1583101583/1500284392_gEhY.jpg
白小�?,,,,http://pic.xiami.net/images/artistlogo/13/14476432196413.jpg
校长,http://pic.xiami.net/images/artistlogo/3/15026903212003.jpg,,,
Gemini,http://pic.xiami.net/images/artistlogo/9/13969493707209.jpg,http://pic.xiami.net/images/artistpic/54/14954/1333821258_72PL.png,,
黄勇,http://pic.xiami.net/images/artistlogo/7/14588148971107.jpg,http://pic.xiami.net/images/artistpic/69/113869/1348704800_4FKf.jpg,http://pic.xiami.net/images/artistpic/69/113869/1348704801_SNsc.jpg,http://pic.xiami.net/images/artistpic/69/113869/1357331423_cGZX.jpg
Heyo,http://pic.xiami.net/images/artistlogo/64/14667479752864.jpg,http://pic.xiami.net/images/artistpic/72/2100029372/1468289456_U3kK.jpg,http://pic.xiami.net/images/artistpic/72/2100029372/1468289457_V5Kp.jpg,http://pic.xiami.net/images/artistpic/72/2100029372/1468289454_SXPW.jpg
肥宝,http://pic.xiami.net/images/artistlogo/8/13052686457208.jpg,http://pic.xiami.net/images/artistpic/82/89782/1306665032_0LQT.jpg,http://pic.xiami.net/images/artistpic/82/89782/1306665048_jw7p.jpg,http://pic.xiami.net/images/artistpic/82/89782/1316029301_C5f9.jpeg
56Loopy,http://pic.xiami.net/images/artistlogo/83/15113455386783.jpg,,,
